"Bookings","","","","","","",""
"Booking ID","Item","Start Time","Start Date","# of Pax","Total","Net Revenue Collected","Affiliate"
"#141188234","BCNPENAM/PM","09:00am","2022-10-13","1","€109.99","€76.99","GetYourGuide - EUR"
"#141068748","BCNPENAM/PM","09:00am","2022-10-13","4","€439.96","€307.96","GetYourGuide - EUR"
"#137455872","BCNPENAM/PM","09:00am","2022-10-13","2","€219.98","€175.98","Airbnb"
"#132304653","BCNPENAM/PM","09:00am","2022-10-13","2","€199.98","€139.98","GetYourGuide - EUR"
"#110656236","BCNPENAM/PM","09:00am","2022-10-13","2","€173.98","€139.18","Airbnb"
"#138896202","MADTOWIN","09:00am","2022-10-13","3","€239.97","€191.97","Airbnb"
"#130549254","PR-BCNDALGI","09:00am","2022-10-13","1","€1,050.00","€892.50","Tours for You"
"#135909876","BCNSKYAM/PM","09:30am","2022-10-13","2","€259.98","€197.58","GetYourGuide - EUR"
"#125432303","BCNSKYAM/PM","09:30am","2022-10-13","2","€259.98","€197.58","GetYourGuide - EUR"
"#137561750","BCNEBIAM/PM","10:00am","2022-10-13","2","€119.98","€88.42","TripAdvisor Experiences/Viator - EUR"
"#133148398","PR-BCNGAUAM/PM","10:00am","2022-10-13","1","€800.00","€600.00","Gateways International"
"#133675624","BCNALESA/PM","10:00am","2022-10-13","4","€479.96","€340.76","TripAdvisor Experiences/Viator - EUR"
"#134190391","LISCASSA","10:30am","2022-10-13","2","€199.98","€119.98","TripAdvisor Experiences/Viator - EUR"
"#132701004","BCNMOOIL","10:45am","2022-10-13","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#131001706","BCNMOOIL","10:45am","2022-10-13","2","€169.98","€118.98","GetYourGuide - EUR"
"#130347400","BCNMOOIL","10:45am","2022-10-13","1","€84.99","€59.49","GetYourGuide - EUR"
"#124329864","BCNMOOIL","10:45am","2022-10-13","2","€149.98","€119.98","Kimkim"
"#141298641","BCNHEL06","11:30am","2022-10-13","3","€284.97","€210.00","TripAdvisor Experiences/Viator - EUR"
"#141333628","CORSPECIAL","02:00pm","2022-10-13","1","€0.00","€0.00",""
"#132942316","BCNBOFLA","06:00pm","2022-10-13","4","€339.96","€254.96","Activities Bank (HotelBeds)"
"#140971906","MADBITES","06:00pm","2022-10-13","1","€74.99","€56.24","GetYourGuide - EUR"
"#138515568","MADSEBAL","06:00am","2022-10-14","3","€779.97","€572.64","TripAdvisor Experiences/Viator - EUR"
"#141395925","BCNBALAM","06:00am","2022-10-14","2","€499.98","€389.98","Project Expedition - EUR"
"#141299075","BCNBALAM","06:00am","2022-10-14","3","€749.97","€552.72","TripAdvisor Experiences/Viator - EUR"
"#141008578","BCNBALAM","06:00am","2022-10-14","1","€249.99","€187.49","GetYourGuide - EUR"
"#141358157","MADTRESC","08:00am","2022-10-14","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#141192530","MADTRESC","08:00am","2022-10-14","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#140719538","MADTRESC","08:00am","2022-10-14","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#139883133","MADTRESC","08:00am","2022-10-14","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#140904307","BCNMOHAM","08:30am","2022-10-14","2","€125.98","€97.98","Expedia.com - EUR"
"#131033643","BCNMOHAM","08:30am","2022-10-14","2","€119.98","€88.42","TripAdvisor Experiences/Viator - EUR"
"#126284233","BCNMOHAM","08:30am","2022-10-14","4","€239.96","€176.84","TripAdvisor Experiences/Viator - EUR"
"#135686292","BCNMORAM/PM","08:30am","2022-10-14","2","€219.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#141296258","LISWINES","09:00am","2022-10-14","1","€99.99","€79.99","Airbnb"
"#141181106","BCNPENAM/PM","09:00am","2022-10-14","1","€99.99","€76.99","TripAdvisor Experiences/Viator - EUR"
"#139066967","BCNPENAM/PM","09:00am","2022-10-14","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#138412571","BCNPENAM/PM","09:00am","2022-10-14","2","€219.98","€153.98","GetYourGuide - EUR"
"#136465872","BCNPENAM/PM","09:00am","2022-10-14","2","€219.98","€153.98","GetYourGuide - EUR"
"#124330340","BCNPENAM/PM","09:00am","2022-10-14","2","€179.98","€143.98","Kimkim"
"#140571396","BCNSKYAM/PM","09:30am","2022-10-14","1","€129.99","€98.79","GetYourGuide - EUR"
"#138619119","BCNSKYAM/PM","09:30am","2022-10-14","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#137270226","BCNSKYAM/PM","09:30am","2022-10-14","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#140169632","BCNEBIAM/PM","10:00am","2022-10-14","1","€59.99","€44.99","Shore Excursions Group (EURO)"
"#107501936","BCNEBIAM/PM","10:00am","2022-10-14","2","€119.98","€89.98","Shore Excursions Group (EURO)"
"#107501879","BCNEBIAM/PM","10:00am","2022-10-14","2","€119.98","€95.98","Shore Excursioneer - Europe"
"#108567281","TM-BCNESPXX","10:00am","2022-10-14","1","€90.00","€0.00","Tours for You"
"#141265649","BCNALESA/PM","10:00am","2022-10-14","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#138550277","BCNALESA/PM","10:00am","2022-10-14","2","€239.98","€191.98","Kimkim"
"#137995444","BCNALESA/PM","10:00am","2022-10-14","4","€479.96","€340.76","TripAdvisor Experiences/Viator - EUR"
"#137565788","BCNALESA/PM","10:00am","2022-10-14","3","€359.97","€255.57","TripAdvisor Experiences/Viator - EUR"
"#135792133","BCNALESA/PM","10:00am","2022-10-14","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#141338607","BCNMOOIL","10:45am","2022-10-14","1","€84.99","€59.49","GetYourGuide - EUR"
"#141230162","BCNMOOIL","10:45am","2022-10-14","1","€74.99","€59.99","Airbnb"
"#140233768","BCNMOOIL","10:45am","2022-10-14","1","€84.99","€59.49","GetYourGuide - EUR"
"#119589753","BCNHEL06","12:45pm","2022-10-14","2","€169.98","€126.40","GetYourGuide - EUR"
"#137739898","BCNBOFLA","06:00pm","2022-10-14","2","€135.98","€101.98","Activities Bank (HotelBeds)"
"#136851163","BCNBOFLA","06:00pm","2022-10-14","1","€67.99","€53.03","Project Expedition - EUR"
"#136567137","BCNBOFLA","06:00pm","2022-10-14","1","€67.99","€50.17","TripAdvisor Experiences/Viator - EUR"
"#133774078","BCNBOFLA","06:00pm","2022-10-14","3","€254.97","€188.16","TripAdvisor Experiences/Viator - EUR"
"#139394298","MADBITES","06:00pm","2022-10-14","1","€74.99","€59.99","Airbnb"
"#139177451","MADTAFLA","06:00pm","2022-10-14","5","€399.95","€299.95","GetYourGuide - EUR"
"#134159748","MADTAFLA","06:00pm","2022-10-14","2","€127.98","€127.98","Travel Edge"
"#130550768","TM-BCNESPXX","07:00am","2022-10-15","1","€90.00","€76.50","Tours for You"
"#133879511","MADTRESC","08:00am","2022-10-15","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#121719136","MADTRESC","08:00am","2022-10-15","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#139927171","MADDUERO","08:00am","2022-10-15","2","€339.98","€237.98","TripAdvisor Experiences/Viator - EUR"
"#140839053","LISTRESC","08:00am","2022-10-15","2","€199.98","€149.98","GetYourGuide - EUR"
"#139940690","BCNMORAM/PM","08:30am","2022-10-15","6","€719.94","€575.94","Airbnb"
"#137029671","LISEBIAM","09:00am","2022-10-15","2","€99.98","€74.98","GetYourGuide - EUR"
"#131220672","LISWINES","09:00am","2022-10-15","2","€199.98","€159.98","Airbnb"
"#140235079","BCNPENAM/PM","09:00am","2022-10-15","1","€109.99","€76.99","GetYourGuide - EUR"
"#139177819","BCNPENAM/PM","09:00am","2022-10-15","9","€989.91","€791.91","Turisme de Barcelona"
"#138795815","BCNPENAM/PM","09:00am","2022-10-15","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#135571002","BCNPENAM/PM","09:00am","2022-10-15","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#138592926","MADTOWIN","09:00am","2022-10-15","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#140307250","BCNSKYAM/PM","09:30am","2022-10-15","2","€259.98","€197.58","GetYourGuide - EUR"
"#139711625","BCNSKYAM/PM","09:30am","2022-10-15","2","€259.98","€197.58","GetYourGuide - EUR"
"#138345426","BCNSKYAM/PM","09:30am","2022-10-15","3","€389.97","€296.37","GetYourGuide - EUR"
"#135071393","BCNSKYAM/PM","09:30am","2022-10-15","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#128385863","BCNEBIAM/PM","10:00am","2022-10-15","4","€239.96","€176.84","TripAdvisor Experiences/Viator - EUR"
"#141393473","BCNALESA/PM","10:00am","2022-10-15","2","€239.98","€182.38","GetYourGuide - EUR"
"#141392023","BCNALESA/PM","10:00am","2022-10-15","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#140618601","BCNALEFD","10:00am","2022-10-15","2","€173.98","€128.22","TripAdvisor Experiences/Viator - EUR"
"#139754457","BCNALEFD","10:00am","2022-10-15","2","€173.98","€169.85",""
"#140575985","BCNMOOIL","10:45am","2022-10-15","2","€169.98","€127.48","Civitatis - EUR"
"#140357036","BCNMOOIL","10:45am","2022-10-15","4","€339.96","€237.96","GetYourGuide - EUR"
"#132840467","BCNMOOIL","10:45am","2022-10-15","2","€169.98","€118.98","GetYourGuide - EUR"
"#131562864","MADEBIAM/PM","11:00am","2022-10-15","1","€39.99","€29.47","TripAdvisor Experiences/Viator - EUR"
"#131562858","MADEBIAM/PM","11:00am","2022-10-15","1","€39.99","€29.47","TripAdvisor Experiences/Viator - EUR"
"#131246508","MADEBIAM/PM","11:00am","2022-10-15","2","€79.98","€58.94","TripAdvisor Experiences/Viator - EUR"
"#137683840","BCNHEL06","11:30am","2022-10-15","1","€94.99","€70.00","TripAdvisor Experiences/Viator - EUR"
"#140062202","MADSEG2H","02:00pm","2022-10-15","2","€99.98","€73.68","TripAdvisor Experiences/Viator - EUR"
"#140751227","BCNSKYAM/PM","03:00pm","2022-10-15","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#140374603","BCNBOFLA","06:00pm","2022-10-15","1","€84.99","€63.74","Activities Bank (HotelBeds)"
"#130996256","BCNBOFLA","06:00pm","2022-10-15","1","€84.99","€62.72","TripAdvisor Experiences/Viator - EUR"
"#130996189","BCNBOFLA","06:00pm","2022-10-15","1","€84.99","€62.72","TripAdvisor Experiences/Viator - EUR"
"#130996144","BCNBOFLA","06:00pm","2022-10-15","1","€84.99","€62.72","TripAdvisor Experiences/Viator - EUR"
"#130995988","BCNBOFLA","06:00pm","2022-10-15","1","€84.99","€62.72","TripAdvisor Experiences/Viator - EUR"
"#140609787","MADBITES","06:00pm","2022-10-15","2","€149.98","€119.98","Airbnb"
"#132384828","MADBITES","06:00pm","2022-10-15","8","€599.92","€449.92","GetYourGuide - EUR"
"#140994092","PR-MADBITES","06:00pm","2022-10-15","1","€630.00","€567.00","Pestana Plaza Mayor"
"#141207619","MADVALLE","08:00am","2022-10-16","2","€199.98","€149.98","The Tour Guy"
"#141315308","MADTRESC","08:00am","2022-10-16","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#122169546","MADTRESC","08:00am","2022-10-16","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#141373503","BCNMORAM/PM","08:30am","2022-10-16","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#133141618","BCNMORAM/PM","08:30am","2022-10-16","2","€239.98","€191.98","Airbnb"
"#140140686","LISCOHOR","08:30am","2022-10-16","1","€89.99","€71.99","Airbnb"
"#140609703","LISEBIAM","09:00am","2022-10-16","4","€199.96","€159.96","Airbnb"
"#139392750","LISEBIAM","09:00am","2022-10-16","6","€299.94","€224.94","Discover Travel Group"
"#141353098","LISSKYAM","09:00am","2022-10-16","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#140510203","BCNPENAM/PM","09:00am","2022-10-16","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#139492866","BCNPENAM/PM","09:00am","2022-10-16","4","€399.96","€307.96","TripAdvisor Experiences/Viator - EUR"
"#137580472","BCNPENAM/PM","09:00am","2022-10-16","1","€109.99","€76.99","GetYourGuide - EUR"
"#136342726","BCNPENAM/PM","09:00am","2022-10-16","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#123767457","BCNPENAM/PM","09:00am","2022-10-16","2","€179.98","€125.98","TripAdvisor Experiences/Viator - EUR"
"#136229059","MADTOWIN","09:00am","2022-10-16","6","€479.94","€335.94","GetYourGuide - EUR"
"#135517835","MADTOWIN","09:00am","2022-10-16","1","€79.99","€55.99","TripAdvisor Experiences/Viator - EUR"
"#140633708","BCNSKYAM/PM","09:30am","2022-10-16","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#140029515","BCNSKYAM/PM","09:30am","2022-10-16","1","€129.99","€103.99","Airbnb"
"#119187973","Specials - BCTOURS","09:45am","2022-10-16","1","€0.00","€0.00",""
"#140232686","BCNALESA/PM","10:00am","2022-10-16","2","€239.98","€182.38","GetYourGuide - EUR"
"#135260735","BCNALESA/PM","10:00am","2022-10-16","1","€119.99","€89.99","Activities Bank (HotelBeds)"
"#134368157","BCNALESA/PM","10:00am","2022-10-16","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#141153596","BCNMOOIL","10:45am","2022-10-16","2","€169.98","€118.98","GetYourGuide - EUR"
"#139654681","BCNMOOIL","10:45am","2022-10-16","3","€254.97","€178.47","GetYourGuide - EUR"
"#135417414","BCNMOOIL","10:45am","2022-10-16","2","€169.98","€125.26","TripAdvisor Experiences/Viator - EUR"
"#137921503","MADBITES","11:30am","2022-10-16","1","€74.99","€59.99","Airbnb"
"#138770974","BCNBOFLA","06:00pm","2022-10-16","2","€169.98","€125.44","TripAdvisor Experiences/Viator - EUR"
"#134903051","BCNBOFLA","06:00pm","2022-10-16","5","€424.95","€313.60","TripAdvisor Experiences/Viator - EUR"
"#131352177","MADSEBAL","06:00am","2022-10-17","2","€519.98","€381.76","TripAdvisor Experiences/Viator - EUR"
"#140872870","BCNBALAM","06:00am","2022-10-17","2","€499.98","€399.98","Airbnb"
"#138318861","BCNBALAM","06:00am","2022-10-17","1","€249.99","€184.24","TripAdvisor Experiences/Viator - EUR"
"#140227515","MADTRESC","08:00am","2022-10-17","2","€239.98","€187.18","Project Expedition - EUR"
"#139652313","LISTRESC","08:00am","2022-10-17","1","€99.99","€74.99","GetYourGuide - EUR"
"#141141893","BCNMOHAM","08:30am","2022-10-17","2","€119.98","€77.98","GetYourGuide - EUR"
"#140506045","BCNMOHAM","08:30am","2022-10-17","2","€125.98","€75.58","TripAdvisor Experiences/Viator - EUR"
"#137969524","BCNPENAM/PM","09:00am","2022-10-17","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#139875577","MADTOWIN","09:00am","2022-10-17","1","€79.99","€55.99","TripAdvisor Experiences/Viator - EUR"
"#139341602","MADTOWIN","09:00am","2022-10-17","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#139710124","BCNEBIAM/PM","10:00am","2022-10-17","2","€119.98","€88.42","TripAdvisor Experiences/Viator - EUR"
"#140514136","BCNALESA/PM","10:00am","2022-10-17","8","€959.92","€729.52","GetYourGuide - EUR"
"#139547685","BCNALESA/PM","10:00am","2022-10-17","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#137844919","BCNALESA/PM","10:00am","2022-10-17","2","€239.98","€182.38","GetYourGuide - EUR"
"#136968452","BCNALESA/PM","10:00am","2022-10-17","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#130395403","BCNALESA/PM","10:00am","2022-10-17","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#140958282","BCNMOOIL","10:45am","2022-10-17","2","€169.98","€118.98","GetYourGuide - EUR"
"#140933603","BCNMOOIL","10:45am","2022-10-17","2","€169.98","€118.98","GetYourGuide - EUR"
"#140691427","BCNMOOIL","10:45am","2022-10-17","14","€1,184.86","€829.36","GetYourGuide - EUR"
"#139420949","BCNMOOIL","10:45am","2022-10-17","4","€339.96","€237.96","GetYourGuide - EUR"
"#132669802","BCNMOOIL","10:45am","2022-10-17","3","€254.97","€178.47","GetYourGuide - EUR"
"#130472637","BCNMOOIL","10:45am","2022-10-17","2","€169.98","€118.98","GetYourGuide - EUR"
"#138523309","MADBITES","06:00pm","2022-10-17","2","€149.98","€112.48","Activities Bank (HotelBeds)"
"#135525891","BCNBALAM","06:00am","2022-10-18","2","€499.98","€374.98","Activities Bank (HotelBeds)"
"#140394929","TM-BCNESPXX","07:00am","2022-10-18","1","€90.00","€76.50","Tours for You"
"#138885622","MADVALLE","08:00am","2022-10-18","2","€199.98","€149.98","GetYourGuide - EUR"
"#130769881","MADVALLE","08:00am","2022-10-18","4","€399.96","€279.96","TripAdvisor Experiences/Viator - EUR"
"#141381276","MADTRESC","08:00am","2022-10-18","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#138902913","MADTRESC","08:00am","2022-10-18","2","€239.98","€179.98","Activities Bank (HotelBeds)"
"#138350654","MADTRESC","08:00am","2022-10-18","2","€239.98","€187.18","Project Expedition - EUR"
"#141300611","BCNMORAM/PM","08:30am","2022-10-18","2","€219.98","€164.98","GetYourGuide - EUR"
"#131671349","BCNMORAM/PM","08:30am","2022-10-18","1","€109.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#136273400","LISWINES","09:00am","2022-10-18","4","€399.96","€279.96","GetYourGuide - EUR"
"#140233021","BCNPENAM/PM","09:00am","2022-10-18","2","€219.98","€153.98","GetYourGuide - EUR"
"#138746622","MADTOWIN","09:00am","2022-10-18","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#137889230","MADTOWIN","09:00am","2022-10-18","1","€79.99","€55.99","TripAdvisor Experiences/Viator - EUR"
"#132443723","MADTOWIN","09:00am","2022-10-18","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#141091295","BCNSKYAM/PM","09:30am","2022-10-18","2","€259.98","€207.98","Airbnb"
"#139627221","BCNSKYAM/PM","09:30am","2022-10-18","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#136684863","BCNSKYAM/PM","09:30am","2022-10-18","2","€259.98","€197.58","GetYourGuide - EUR"
"#135622601","BCNSKYAM/PM","09:30am","2022-10-18","2","€259.98","€197.58","GetYourGuide - EUR"
"#131762826","BCNSKYAM/PM","09:30am","2022-10-18","1","€129.99","€95.80","TripAdvisor Experiences/Viator - EUR"
"#119188009","Specials - BCTOURS","09:45am","2022-10-18","1","€0.00","€0.00",""
"#140258862","BCNEBIAM/PM","10:00am","2022-10-18","2","€119.98","€89.98","Shore Excursions Group (EURO)"
"#126420942","BCNEBIAM/PM","10:00am","2022-10-18","2","€119.98","€0.00","Shore Excursions Group (EURO)"
"#138291232","BCNALESA/PM","10:00am","2022-10-18","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#140399456","TM-BCNGOFTR","10:00am","2022-10-18","1","€1,165.00","€990.25","Tours for You"
"#137705199","BCNMOOIL","10:45am","2022-10-18","2","€149.98","€116.98","Project Expedition - EUR"
"#125984600","MADEBIAM/PM","11:00am","2022-10-18","2","€79.98","€58.94","TripAdvisor Experiences/Viator - EUR"
"#136292166","BCNHEL06","11:30am","2022-10-18","2","€169.98","€143.98","GetYourGuide - EUR"
"#139651907","CORSPECIAL","04:30pm","2022-10-18","1","€0.00","€0.00",""
"#141304826","CORSPECIAL","04:30pm","2022-10-18","1","€0.00","€0.00",""
"#139193368","MADBITES","06:00pm","2022-10-18","2","€149.98","€112.48","GetYourGuide - EUR"
"#140351710","PR-BCNBOFLA","06:00pm","2022-10-18","1","€576.00","€432.00","Discover Travel Group"
"#141304849","CORSPECIAL","06:30pm","2022-10-18","1","€0.00","€0.00",""
"#140046922","MADTRESC","08:00am","2022-10-19","4","€479.96","€353.72","TripAdvisor Experiences/Viator - EUR"
"#138516923","MADTRESC","08:00am","2022-10-19","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#132966552","MADTRESC","08:00am","2022-10-19","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#131028468","MADTRESC","08:00am","2022-10-19","3","€359.97","€287.97","Airbnb"
"#139511789","MADDUERO","08:00am","2022-10-19","2","€339.98","€271.98","Airbnb"
"#141050165","BCNMOHAM","08:30am","2022-10-19","1","€59.99","€38.99","GetYourGuide - EUR"
"#140524503","BCNMOHAM","08:30am","2022-10-19","1","€59.99","€38.99","GetYourGuide - EUR"
"#133460181","BCNMORAM/PM","08:30am","2022-10-19","1","€109.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#138393649","LISSKYAM","09:00am","2022-10-19","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#138553824","BCNPENAM/PM","09:00am","2022-10-19","2","€219.98","€153.98","GetYourGuide - EUR"
"#136294491","BCNPENAM/PM","09:00am","2022-10-19","2","€219.98","€171.58","Project Expedition - EUR"
"#141082873","MADTOWIN","09:00am","2022-10-19","2","€159.98","€111.98","GetYourGuide - EUR"
"#140248425","BCNSKYAM/PM","09:30am","2022-10-19","6","€779.94","€584.94","Discover Travel Group"
"#139178156","BCNSKYAM/PM","09:30am","2022-10-19","1","€129.99","€95.80","TripAdvisor Experiences/Viator - EUR"
"#138459963","BCNSKYAM/PM","09:30am","2022-10-19","1","€129.99","€98.79","GetYourGuide - EUR"
"#120287192","BCNSKYAM/PM","09:30am","2022-10-19","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#137720877","BCNEBIAM/PM","10:00am","2022-10-19","8","€479.92","€364.72","GetYourGuide - EUR"
"#138873743","BCNALESA/PM","10:00am","2022-10-19","2","€239.98","€187.18","Project Expedition - EUR"
"#136518031","BCNALESA/PM","10:00am","2022-10-19","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#136467091","BCNALEFD","10:00am","2022-10-19","2","€173.98","€130.48","Winerist - EUR"
"#140399382","TM-BCNGOFTR","10:00am","2022-10-19","1","€1,165.00","€990.25","Tours for You"
"#141125267","BCNMOOIL","10:45am","2022-10-19","4","€339.96","€237.96","GetYourGuide - EUR"
"#141093510","BCNHEL06","11:30am","2022-10-19","2","€169.98","€143.98","GetYourGuide - EUR"
"#139566766","MADSEG2H","12:00pm","2022-10-19","2","€99.98","€74.98","GetYourGuide - EUR"
"#140928142","BCNSKYAM/PM","03:00pm","2022-10-19","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#133733048","CORSPECIAL","04:00pm","2022-10-19","1","€0.00","€0.00",""
"#139394243","MADBITES","06:00pm","2022-10-19","2","€149.98","€112.48","Activities Bank (HotelBeds)"
"#141230399","MADTRESC","08:00am","2022-10-20","2","€239.98","€179.98","Activities Bank (HotelBeds)"
"#132334664","MADTRESC","08:00am","2022-10-20","8","€959.92","€707.44","TripAdvisor Experiences/Viator - EUR"
"#139019490","BCNMORAM/PM","08:30am","2022-10-20","1","€109.99","€87.99","Airbnb"
"#139010064","BCNMORAM/PM","08:30am","2022-10-20","2","€219.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#139233905","LISEBIAM","09:00am","2022-10-20","2","€99.98","€69.98","GetYourGuide - EUR"
"#141307072","LISSKYAM","09:00am","2022-10-20","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#139946649","LISSKYAM","09:00am","2022-10-20","1","€119.99","€71.99","TripAdvisor Experiences/Viator - EUR"
"#141279509","MADTOWIN","09:00am","2022-10-20","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#140399556","TM-BCNGOFTR","09:00am","2022-10-20","1","€1,165.00","€990.25","Tours for You"
"#140562880","BCNSKYAM/PM","09:30am","2022-10-20","1","€129.99","€98.79","GetYourGuide - EUR"
"#139354598","BCNSKYAM/PM","09:30am","2022-10-20","2","€259.98","€202.78","Project Expedition - EUR"
"#93574617","TM-BCNESPXX","10:00am","2022-10-20","1","€1,292.00","€0.00","Tours for You"
"#140919070","BCNALESA/PM","10:00am","2022-10-20","2","€239.98","€182.38","GetYourGuide - EUR"
"#139737868","BCNALESA/PM","10:00am","2022-10-20","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#139238085","BCNALESA/PM","10:00am","2022-10-20","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#137257353","BCNALESA/PM","10:00am","2022-10-20","1","€119.99","€85.19","TripAdvisor Experiences/Viator - EUR"
"#140976096","BCNMOOIL","10:45am","2022-10-20","2","€169.98","€118.98","GetYourGuide - EUR"
"#140948809","BCNMOOIL","10:45am","2022-10-20","4","€339.96","€237.96","GetYourGuide - EUR"
"#141106957","BCNHEL06","11:30am","2022-10-20","2","€189.98","€140.00","TripAdvisor Experiences/Viator - EUR"
"#138524811","BCNBOFLA","06:00pm","2022-10-20","2","€169.98","€127.48","Activities Bank (HotelBeds)"
"#139324756","MADBITES","06:00pm","2022-10-20","2","€149.98","€112.48","GetYourGuide - EUR"
"#138884432","MADBITES","06:00pm","2022-10-20","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#137569941","MADSEBAL","06:00am","2022-10-21","2","€519.98","€389.98","GetYourGuide - EUR"
"#139622847","BCNBALAM","06:00am","2022-10-21","1","€229.99","€172.49","GetYourGuide - EUR"
"#140569767","LISWINES","09:00am","2022-10-21","1","€99.99","€69.99","GetYourGuide - EUR"
"#138934901","LISWINES","09:00am","2022-10-21","2","€199.98","€139.98","GetYourGuide - EUR"
"#140682778","BCNPENAM/PM","09:00am","2022-10-21","6","€659.94","€461.94","GetYourGuide - EUR"
"#141177830","MADTOWIN","09:00am","2022-10-21","1","€79.99","€55.99","GetYourGuide - EUR"
"#139324762","MADTOWIN","09:00am","2022-10-21","2","€159.98","€111.98","GetYourGuide - EUR"
"#138587104","MADTOWIN","09:00am","2022-10-21","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#138524647","MADTOWIN","09:00am","2022-10-21","2","€159.98","€127.98","Airbnb"
"#140620625","BCNSKYAM/PM","09:30am","2022-10-21","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#140396649","BCNSKYAM/PM","09:30am","2022-10-21","3","€0.00","€0.00",""
"#140045021","BCNSKYAM/PM","09:30am","2022-10-21","2","€259.98","€197.58","GetYourGuide - EUR"
"#139395564","PR-BCNSKYAM/PM","09:30am","2022-10-21","1","€630.00","€499.50","Meine Landausfluege"
"#140399686","TM-BCNGOFTR","09:30am","2022-10-21","1","€1,165.00","€990.25","Tours for You"
"#139272327","BCNEBIAM/PM","10:00am","2022-10-21","2","€119.98","€91.18","GetYourGuide - EUR"
"#141015840","BCNALEFD","10:00am","2022-10-21","2","€173.98","€139.18","Airbnb"
"#138339267","BCNMOOIL","10:45am","2022-10-21","4","€299.96","€221.04","TripAdvisor Experiences/Viator - EUR"
"#137967325","BCNMOOIL","10:45am","2022-10-21","3","€254.97","€178.47","GetYourGuide - EUR"
"#135183793","BCNMOOIL","10:45am","2022-10-21","2","€169.98","€118.98","GetYourGuide - EUR"
"#128997149","BCNMOOIL","10:45am","2022-10-21","2","€149.98","€127.48","Just Explore"
"#128782785","BCNMOOIL","10:45am","2022-10-21","10","€749.90","€599.90","Airbnb"
"#141296769","BCNHEL06","11:30am","2022-10-21","2","€169.98","€143.98","GetYourGuide - EUR"
